Models importing done.
Loading Tracker...
Loading Pose Estimator...
Loading Assault Detector...
[AssaultDetector] Loading VGG19 + BiLSTM assault model ...
[AssaultDetector]  Loaded
All models loaded!
Frame 291 - PoseTrack 35: conf=0.531, is_assault=False
Frame 292 - PoseTrack 35: conf=0.530, is_assault=False
Frame 293 - PoseTrack 35: conf=0.530, is_assault=False
Frame 294 - PoseTrack 35: conf=0.529, is_assault=False
Frame 295 - PoseTrack 35: conf=0.529, is_assault=False
Frame 296 - PoseTrack 35: conf=0.529, is_assault=False
Frame 297 - PoseTrack 35: conf=0.529, is_assault=False
Frame 298 - PoseTrack 35: conf=0.531, is_assault=False
Frame 299 - PoseTrack 35: conf=0.530, is_assault=False
Frame 300 - PoseTrack 35: conf=0.529, is_assault=False
Frame 301 - PoseTrack 35: conf=0.529, is_assault=False
Frame 305 - PoseTrack 35: conf=0.529, is_assault=False
Frame 306 - PoseTrack 35: conf=0.527, is_assault=False
Frame 470 - PoseTrack 46: conf=0.506, is_assault=False
Frame 471 - PoseTrack 46: conf=0.506, is_assault=False
Frame 472 - PoseTrack 46: conf=0.506, is_assault=False
Frame 473 - PoseTrack 46: conf=0.507, is_assault=False
Frame 474 - PoseTrack 46: conf=0.502, is_assault=False
Frame 475 - PoseTrack 46: conf=0.506, is_assault=False
Frame 476 - PoseTrack 46: conf=0.506, is_assault=False
Frame 477 - PoseTrack 46: conf=0.503, is_assault=False
Frame 478 - PoseTrack 46: conf=0.506, is_assault=False
Frame 479 - PoseTrack 46: conf=0.507, is_assault=False
Frame 480 - PoseTrack 46: conf=0.507, is_assault=False
Frame 489 - PoseTrack 46: conf=0.503, is_assault=False
Targeted test finished. Output saved to 'output_assault_test.mp4'.
